Loadsheet_Number,Total_Pax,Y_Pax,Jump_Pax,Standby_Pax,Male_Pax,Female_Pax,Child_Pax,Infant_Pax,Total_Bags,Total_Bag_Weight_KG,Baggage_Weight_Type,Distribution_Type,Section,Capacity,Distribution
,142,142,0,NULL,92,43,7,5,130,1460.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y27
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y34
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y26
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,185,185,0,NULL,117,59,9,4,140,1673.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y5
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y30
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y20
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y29
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y28
,142,142,0,NULL,71,62,9,3,75,809.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y30
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y27
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y25
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y27
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y25
,164,164,0,NULL,104,53,7,0,140,1635.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y31
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y4
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y5
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y8
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y3
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y10
,56,56,0,NULL,37,19,0,0,56,568.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y26
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0A,Y18,Y16
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y36
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0C,Y36,Y31
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0D,Y36,Y32
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y27
,170,170,0,NULL,87,73,10,2,146,1748.0,ACTUAL,CKI_DISTRIBUTION,0F,Y30,Y28
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y25
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y27
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y26
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y28
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,164,164,0,NULL,85,71,8,2,100,884.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y29
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y27
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y25
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y27
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y25
,165,165,0,NULL,105,53,7,0,103,1202.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y32
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y25
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y26
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y28
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,166,166,0,NULL,86,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y29
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y26
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y19
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y8
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y26
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y23
,129,129,0,NULL,66,48,15,2,102,1163.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y27
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y31
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y29
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y27
,179,179,0,NULL,112,60,7,0,103,1175.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y35
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y31
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y29
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y29
,181,181,0,NULL,114,60,7,0,121,1379.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y35
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y34
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y30
,187,187,0,NULL,119,61,7,0,124,1400.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y36
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y30
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y27
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y30
,189,189,0,NULL,120,62,7,0,129,1460.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0A,Y33,Y25
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y26
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y28
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y30
,167,167,0,NULL,87,72,8,2,83,734.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y29
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y33
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y29
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y26
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y28
,181,181,0,NULL,113,59,9,4,142,1697.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y35
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0A,Y12,Y12
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y36
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0C,Y30,Y30
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y30
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y30
,174,174,0,NULL,101,60,13,2,134,1342.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y36
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0A,Y36,Y26
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0B,Y30,Y19
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0C,Y27,Y8
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0D,Y30,Y26
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0E,Y30,Y23
,129,129,0,NULL,66,48,15,2,100,1151.0,ACTUAL,CKI_DISTRIBUTION,0F,Y36,Y27
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0A,Y18,Y11
,157,157,0,NULL,97,57,3,1,100,1048.0,ACTUAL,CKI_DISTRIBUTION,0B,Y36,Y36
